Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source,,,,,
854420,ANTOFAGASTA,-,CHL,-23.43,-70.43,-4,31,INTL,,,,,
Year,Month,Day,Hour,Beam,Diffuse,Tdry,Tdew,Pres,Wdir,Wspd,Aod,Pwp,Alb
1984,1,1,0,0,0,18.4,15.7,1002,0,0,0.224,0,0.16
1984,1,1,1,0,0,18.3,15.5,1002,150,3.1,0.224,0,0.16
1984,1,1,2,0,0,18.2,15.4,1003,130,2.5,0.224,0,0.16
1984,1,1,3,0,0,18.1,15.4,1003,130,2,0.224,0,0.16
1984,1,1,4,0,0,18,15.5,1003,0,0,0.224,0,0.16
1984,1,1,5,0,0,17.9,15.7,1003,90,2,0.224,0,0.16
1984,1,1,6,35,0,19,16,1003,0,0,0.224,0,0.16
1984,1,1,7,236,198,20,18,1003,200,2,0.224,0,0.16
1984,1,1,8,515,496,21,16.7,1004,200,3.5,0.224,0,0.16
1984,1,1,9,791,767,22,17,1004,200,5.1,0.224,0,0.16
1984,1,1,10,982,940,22.4,17.2,1004,200,6.2,0.224,0,0.16
1984,1,1,11,1130,1024,23,17,1004,200,5.1,0.224,0,0.16
1984,1,1,12,1189,1030,24,17,1003,200,6.1,0.224,0,0.16
1984,1,1,13,1190,940,24,16,1003,190,7.2,0.224,0,0.16
1984,1,1,14,1070,1016,23,17,1003,180,6.1,0.224,0,0.16
1984,1,1,15,886,915,23,17,1003,200,7.2,0.224,0,0.16
1984,1,1,16,654,704,22,16,1003,200,8.2,0.224,0,0.16
1984,1,1,17,374,420,21,16,1003,180,7.2,0.224,0,0.16
1984,1,1,18,122,88,21,16,1003,180,5.1,0.224,0,0.16
1984,1,1,19,7,0,20,16,1003,190,4.6,0.224,0,0.16
1984,1,1,20,0,0,19,16,1003,180,4.1,0.224,0,0.16
1984,1,1,21,0,0,19,16,1004,180,2,0.224,0,0.16
1984,1,1,22,0,0,19,16.5,1004,0,0,0.224,0,0.16
1984,1,1,23,0,0,18,16,1004,0,0,0.224,0,0.16
1984,1,2,0,0,0,18,15,1003,0,0,0.224,0,0.16
1984,1,2,1,0,0,18,16,1003,210,4.1,0.224,0,0.16
1984,1,2,2,0,0,18,16,1003,210,3.6,0.224,0,0.16
1984,1,2,3,0,0,18,16,1002,190,2,0.224,0,0.16
1984,1,2,4,0,0,17.9,16.3,1002,0,0,0.224,0,0.16
1984,1,2,5,0,0,17,15,1002,0,0,0.224,0,0.16
1984,1,2,6,34,0,18,16,1002,180,1.5,0.224,0,0.16
1984,1,2,7,235,206,20.1,16.8,1002,180,3.6,0.224,0,0.16
1984,1,2,8,510,585,20,17,1002,200,5.6,0.224,0,0.16
1984,1,2,9,785,751,21,16,1001,190,5.6,0.224,0,0.16
1984,1,2,10,989,880,22,16,1001,200,5.6,0.224,0,0.16
1984,1,2,11,1110,949,22,15,1000,200,5.1,0.224,0,0.16
1984,1,2,12,1208,936,22,16,1000,200,8.2,0.224,0,0.16
1984,1,2,13,1177,920,23,16,999,190,7.7,0.224,0,0.16
1984,1,2,14,1066,793,22,15,999,190,8.2,0.224,0,0.16
1984,1,2,15,851,674,22,17,1000,200,9.7,0.224,0,0.16
1984,1,2,16,594,484,22,17,1000,200,7.2,0.224,0,0.16
1984,1,2,17,309,196,21,18,1000,190,8.2,0.224,0,0.16
1984,1,2,18,89,20,20,17,1000,180,5.1,0.224,0,0.16
1984,1,2,19,4,0,20,17,1000,180,5.1,0.224,0,0.16
1984,1,2,20,0,0,19,17,1000,180,5.1,0.224,0,0.16
1984,1,2,21,0,0,19,16,1001,190,3,0.224,0,0.16
1984,1,2,22,0,0,19.2,16.2,1001,170,2.1,0.224,0,0.16
1984,1,2,23,0,0,19,16,1001,150,2,0.224,0,0.16
1984,1,3,0,0,0,19,16,1000,250,2,0.224,0,0.16
1984,1,3,1,0,0,18.8,16,1000,0,0,0.224,0,0.16
1984,1,3,2,0,0,19,16,1000,0,0,0.224,0,0.16
1984,1,3,3,0,0,19,15,1001,180,2,0.224,0,0.16
1984,1,3,4,0,0,18,15,1001,180,1,0.224,0,0.16
1984,1,3,5,0,0,18.5,17,1001,180,1,0.224,0,0.16
1984,1,3,6,28,0,19,15,1001,220,1,0.224,0,0.16
1984,1,3,7,203,144,20.2,17.4,1001,210,2.1,0.224,0,0.16
1984,1,3,8,427,302,21,17,1001,190,4.1,0.224,0,0.16
1984,1,3,9,614,289,22,16,1001,200,4.1,0.224,0,0.16
1984,1,3,10,740,255,22.7,16,1001,200,6.2,0.224,0,0.16
1984,1,3,11,793,131,23,16,1000,190,8.2,0.224,0,0.16
1984,1,3,12,771,144,23,16,1000,190,8.7,0.224,0,0.16
1984,1,3,13,682,91,23.4,16.4,1000,190,7.7,0.224,0,0.16
1984,1,3,14,757,278,23,16,1000,200,8.2,0.224,0,0.16
1984,1,3,15,714,331,22.5,16.8,1000,200,7.7,0.224,0,0.16
1984,1,3,16,562,413,22,17,1000,190,7.2,0.224,0,0.16
1984,1,3,17,339,300,21,17,1000,180,6.6,0.224,0,0.16
1984,1,3,18,114,65,20,17,1000,190,6.1,0.224,0,0.16
1984,1,3,19,7,0,20,17,1000,180,5.1,0.224,0,0.16
1984,1,3,20,0,0,20,17,1001,180,5.1,0.224,0,0.16
1984,1,3,21,0,0,20,17,1001,180,3.6,0.224,0,0.16
1984,1,3,22,0,0,19.6,17.3,1001,170,2.6,0.224,0,0.16
1984,1,3,23,0,0,20,17,1001,0,0,0.224,0,0.16
1984,1,4,0,0,0,20,16,1001,160,1,0.224,0,0.16
1984,1,4,1,0,0,19.8,17,1000,180,2.1,0.224,0,0.16
1984,1,4,2,0,0,19,17,1000,190,2.5,0.224,0,0.16
1984,1,4,3,0,0,19,17,1000,190,2,0.224,0,0.16
1984,1,4,4,0,0,19.2,17.2,1000,0,0,0.224,0,0.16
1984,1,4,5,0,0,19,17,1000,180,2,0.224,0,0.16
1984,1,4,6,29,0,19,16,1001,210,4.1,0.224,0,0.16
1984,1,4,7,227,196,20.2,16.4,1001,180,3.1,0.224,0,0.16
1984,1,4,8,496,463,22,16,1001,210,3,0.224,0,0.16
1984,1,4,9,756,691,23,16,1001,200,5.1,0.224,0,0.16
1984,1,4,10,978,779,23,16,1001,200,5.1,0.224,0,0.16
1984,1,4,11,1143,822,24,16,1001,200,5.1,0.224,0,0.16
1984,1,4,12,1185,1017,24,18,1000,190,8.2,0.224,0,0.16
1984,1,4,13,1170,1026,23.4,17.3,1000,200,8.2,0.224,0,0.16
1984,1,4,14,1071,1013,23.2,16.9,999,200,7.7,0.224,0,0.16
1984,1,4,15,887,847,23,16,999,200,7.2,0.224,0,0.16
1984,1,4,16,654,694,22,16,999,180,7.2,0.224,0,0.16
1984,1,4,17,358,354,22,17,999,180,6.1,0.224,0,0.16
1984,1,4,18,105,44,21,17,999,170,5.1,0.224,0,0.16
1984,1,4,19,4,0,20,18,1000,170,3,0.224,0,0.16
1984,1,4,20,0,0,20,18,1000,180,2.5,0.224,0,0.16
1984,1,4,21,0,0,20,17,1001,170,2,0.224,0,0.16
1984,1,4,22,0,0,20.3,17.3,1002,190,3.1,0.224,0,0.16
1984,1,4,23,0,0,20,17,1001,180,1.5,0.224,0,0.16
1984,1,5,0,0,0,20,18,1001,210,2,0.224,0,0.16
1984,1,5,1,0,0,19.7,17.3,1001,0,0,0.224,0,0.16
1984,1,5,2,0,0,20,17,1001,0,0,0.224,0,0.16
1984,1,5,3,0,0,20,17,1000,0,0,0.224,0,0.16
1984,1,5,4,0,0,19.4,16.3,1000,0,0,0.224,0,0.16
1984,1,5,5,0,0,19,16,1001,0,0,0.224,0,0.16
1984,1,5,6,20,0,20,17,1001,190,1,0.224,0,0.16
1984,1,5,7,176,76,20,18,1001,190,2,0.224,0,0.16
1984,1,5,8,384,174,21,18,1001,240,3.6,0.224,0,0.16
