Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Power [kW],Annual energy,Annual efficiency
182,31.13274512,83.5288724,0,0,0,100,0.95,0.95,0.858900778,0.971626373,0.979496626,1,1,0.99998514,20.20141792,18599.71106,0.770616175
38,34.0370511,66.83172265,0,0,0,100,0.95,0.95,0.866708699,0.979554764,0.980396068,1,1,0.999990013,20.36625981,18768.79355,0.769980958
428,-3.93E-14,113.2842712,0,0,0,100,0.95,0.95,0.84383087,0.956252844,0.977783558,1,1,0.999983257,19.8817816,18273.36845,0.770775732
95,-43.5727694,69.54907576,0,0,0,100,0.95,0.95,0.855085446,0.966849007,0.979957623,1,1,0.999991601,20.10209007,18517.0891,0.765744713
427,-9.980557345,112.8437618,0,0,0,100,0.95,0.95,0.84305814,0.955377165,0.977783558,1,1,0.999983257,19.86357506,18256.63479,0.77043891
350,17.58468791,101.7763206,0,0,0,100,0.95,0.95,0.850675931,0.963287711,0.978516345,1,1,0.999983491,20.02804592,18421.59996,0.771594867
106,31.01038339,75.98694818,0,0,0,100,0.95,0.95,0.863128158,0.975947387,0.979957623,1,1,0.999987043,20.2912576,18691.25604,0.771102932
343,-31.30699999,98.42516161,0,0,0,100,0.95,0.95,0.846236248,0.958257791,0.978516345,1,1,0.999986115,19.92346714,18325.4575,0.768947844
262,21.03244174,93.88619126,0,0,0,100,0.95,0.95,0.855102261,0.967804732,0.979015474,1,1,0.99998514,20.12196087,18517.45323,0.772204408
254,-34.55016324,89.79569441,0,0,0,100,0.95,0.95,0.849774714,0.961773255,0.979015474,1,1,0.999986971,19.99655835,18402.08389,0.768906594
349,10.58385072,102.7405606,0,0,0,100,0.95,0.95,0.850621808,0.963226422,0.978516345,1,1,0.999983491,20.02677166,18420.4279,0.772357842
27,-40.1730949,63.33342282,0,0,0,100,0.95,0.95,0.859785468,0.97172858,0.980396068,1,1,0.999991601,20.20354295,18618.86925,0.767028044
172,-37.65034955,80.80081387,0,0,0,100,0.95,0.95,0.85309716,0.965056741,0.979496626,1,1,0.999989622,20.06482643,18474.03228,0.7683758
344,-24.50320087,100.335606,0,0,0,100,0.95,0.95,0.84743702,0.959619148,0.978516345,1,1,0.999984416,19.95177158,18351.46054,0.770457242
181,24.41955427,85.73217432,0,0,0,100,0.95,0.95,0.859392554,0.972182692,0.979496626,1,1,0.99998514,20.21298453,18610.3606,0.772429694
348,3.533464312,103.2238118,0,0,0,100,0.95,0.95,0.850371054,0.962942685,0.978516345,1,1,0.999983272,20.02087237,18414.99776,0.772740769
345,-17.58468791,101.7763206,0,0,0,100,0.95,0.95,0.84845507,0.960772525,0.978516345,1,1,0.999983834,19.97575182,18373.50664,0.771595939
96,-37.43024472,73.03859905,0,0,0,100,0.95,0.95,0.857067472,0.969090093,0.979957623,1,1,0.999991601,20.14868526,18560.01037,0.768644754
37,27.59912658,69.73727993,0,0,0,100,0.95,0.95,0.867568531,0.98052946,0.980396068,1,1,0.999987043,20.38652505,18787.41344,0.772455354
347,-3.533464312,103.2238118,0,0,0,100,0.95,0.95,0.849925029,0.96243763,0.978516345,1,1,0.999983257,20.01037161,18405.33898,0.772741054
261,14.08497457,95.17664633,0,0,0,100,0.95,0.95,0.855184353,0.967898516,0.979015474,1,1,0.999984241,20.12391075,18519.23097,0.773248986
346,-10.58385072,102.7405606,0,0,0,100,0.95,0.95,0.849285845,0.961713277,0.978516345,1,1,0.999983834,19.99531133,18391.49729,0.772358333
