Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Power [kW],Annual energy,Annual efficiency,
2419,239.97,582.86,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7085,0.8429,0.9318,1.0000,1.0000,0.9996,88379.90,206182073.3,0.6726,
2531,-234.95,612.74,0.00,0.00,0.00,150.00,0.9500,0.9500,0.6972,0.8314,0.9296,1.0000,1.0000,0.9995,86963.44,206220660.5,0.6713,
1272,295.88,291.29,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7407,0.8639,0.9501,1.0000,1.0000,0.9999,92394.73,206255050.8,0.6723,
769,260.93,179.71,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7623,0.8813,0.9585,1.0000,1.0000,0.9999,95084.07,206295312.7,0.6705,
2038,296.25,471.03,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7180,0.8483,0.9380,1.0000,1.0000,0.9998,89554.70,206365356.1,0.6719,
1362,297.81,314.13,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7376,0.8617,0.9486,1.0000,1.0000,0.9999,92003.79,206374635.7,0.6723,
2545,204.77,623.47,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7053,0.8410,0.9296,1.0000,1.0000,0.9995,87974.99,206393773.2,0.6736,
1091,289.41,248.05,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7472,0.8688,0.9530,1.0000,1.0000,0.9999,93197.08,206427851.1,0.6754,
2273,-270.38,540.56,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7020,0.8331,0.9340,1.0000,1.0000,0.9997,87563.95,206431391.6,0.6710,
1453,299.42,338.48,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7343,0.8593,0.9470,1.0000,1.0000,0.9999,91593.38,206450491.3,0.6721,
1543,299.69,363.29,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7312,0.8571,0.9453,1.0000,1.0000,0.9999,91201.40,206532269.0,0.6721,
2875,99.59,705.28,0.00,0.00,0.00,150.00,0.9500,0.9500,0.6975,0.8364,0.9250,0.9997,1.0000,0.9992,87003.66,206568509.8,0.6820,
688,-257.80,158.84,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7484,0.8642,0.9597,1.0000,1.0000,0.9998,93345.36,206577242.5,0.6670,
2165,272.24,512.62,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7152,0.8468,0.9360,1.0000,1.0000,0.9998,89203.84,206583220.0,0.6731,
1910,273.31,459.05,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7222,0.8515,0.9399,1.0000,1.0000,0.9999,90082.48,206616437.3,0.6732,
2291,243.67,553.11,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7122,0.8452,0.9340,1.0000,1.0000,0.9998,88841.49,206625471.6,0.6738,
1887,-295.39,445.17,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7078,0.8365,0.9399,0.9976,1.0000,0.9998,88289.52,206678889.5,0.6709,
999,268.62,246.80,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7423,0.8736,0.9544,0.9865,1.0000,1.0000,92584.05,206685016.6,0.6777,
2144,-296.93,498.73,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7033,0.8329,0.9360,1.0000,1.0000,0.9997,87731.73,206692512.9,0.6710,
2403,-239.97,582.86,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7003,0.8331,0.9318,1.0000,1.0000,0.9996,87352.31,206712980.0,0.6726,
1782,272.62,433.46,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7206,0.8539,0.9418,0.9929,1.0000,0.9999,89887.60,206749159.3,0.6810,
2867,-99.59,705.28,0.00,0.00,0.00,150.00,0.9500,0.9500,0.6892,0.8328,0.9250,0.9921,1.0000,0.9992,85964.41,206768862.5,0.6820,
1157,-292.75,268.97,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7288,0.8486,0.9516,1.0000,1.0000,1.0000,90901.51,206800968.1,0.6711,
2532,-204.77,623.47,0.00,0.00,0.00,150.00,0.9500,0.9500,0.6985,0.8330,0.9296,1.0000,1.0000,0.9995,87132.17,206827110.0,0.6736,
2874,74.80,708.34,0.00,0.00,0.00,150.00,0.9500,0.9500,0.6967,0.8362,0.9250,0.9987,1.0000,0.9992,86896.17,206830141.4,0.6827,
2701,200.97,654.08,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7016,0.8387,0.9273,1.0000,1.0000,0.9995,87512.23,206864152.4,0.6789,
2418,211.24,593.87,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7089,0.8433,0.9318,1.0000,1.0000,0.9997,88428.87,206882685.1,0.6750,
2037,272.91,484.93,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7188,0.8492,0.9380,1.0000,1.0000,0.9998,89653.34,206946310.6,0.6740,
1779,206.44,468.60,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7256,0.8561,0.9418,0.9971,1.0000,1.0000,90501.35,206951830.7,0.6765,
465,227.22,109.85,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7798,0.8968,0.9639,1.0000,1.0000,0.9996,97269.35,206958922.8,0.6706,
2544,174.10,632.72,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7055,0.8412,0.9296,1.0000,1.0000,0.9996,88001.67,206970090.2,0.6756,
2868,-74.80,708.34,0.00,0.00,0.00,150.00,0.9500,0.9500,0.6904,0.8335,0.9250,0.9930,1.0000,0.9992,86116.18,206980621.8,0.6827,
2164,246.90,525.30,0.00,0.00,0.00,150.00,0.9500,0.9500,0.7158,0.8475,0.9360,1.0000,1.0000,0.9998,89280.41,207005652.8,0.6747,
