Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Power [kW],Annual energy,Annual efficiency,
6205,1309.24,1.12,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0007,0.7602,0.8784,1.0000,1.0000,0.0012,93.19,211623.4,0.0006,
6081,-1309.24,1.12,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0007,0.7306,0.8784,1.0000,1.0000,0.0013,90.55,213686.6,0.0006,
5709,1207.84,1.03,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0008,0.7632,0.8860,1.0000,1.0000,0.0014,103.19,235058.1,0.0007,
5585,-1207.84,1.03,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0008,0.7338,0.8860,1.0000,1.0000,0.0014,100.24,237425.1,0.0007,
4221,947.75,0.81,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0009,0.7736,0.9060,0.8454,1.0000,0.0017,115.46,254471.5,0.0007,
5213,1114.19,0.95,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0009,0.7664,0.8931,1.0000,1.0000,0.0015,113.72,255976.2,0.0007,
4097,-947.75,0.81,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0009,0.7448,0.9060,0.8525,1.0000,0.0017,112.97,256914.8,0.0007,
5089,-1114.19,0.95,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0009,0.7372,0.8931,1.0000,1.0000,0.0015,110.43,258555.5,0.0007,
4717,1027.68,0.88,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0010,0.7699,0.8997,0.9896,1.0000,0.0016,123.52,277891.9,0.0008,
4593,-1027.68,0.88,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0010,0.7408,0.8997,0.9865,1.0000,0.0016,119.54,280781.2,0.0008,
6533,1361.86,15.40,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0094,0.7594,0.8745,1.0000,1.0000,0.0157,1173.46,2675358.4,0.0074,
6356,-1361.86,15.40,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0091,0.7298,0.8745,1.0000,1.0000,0.0159,1140.35,2701223.8,0.0074,
5956,1256.41,16.98,0.00,0.00,0.00,150.00,0.9500,0.9500,0.0125,0.7625,0.8823,1.0000,1.0000,0.0206,1557.16,3559367.9,0.0099,
