Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Power [kW],Annual energy,Annual efficiency,
6114,-877.30,971.82,0.00,-5.70,6.31,150.00,0.9500,0.9500,0.5709,0.7837,0.8790,1.0000,1.0000,0.9183,71211.45,178967979.3,0.5439,
3005,-742.35,-18.51,0.00,-8.50,-0.21,150.00,0.9500,0.9500,0.6217,0.7576,0.9232,0.9860,1.0000,0.9990,77549.95,178971407.9,0.5427,
1936,519.50,-124.68,0.00,8.27,-1.98,150.00,0.9500,0.9500,0.6661,0.7956,0.9406,0.9863,1.0000,1.0000,83082.34,178977987.2,0.5583,
6415,-676.52,1182.04,0.00,-4.22,7.38,150.00,0.9500,0.9500,0.5638,0.7926,0.8751,1.0000,1.0000,0.9007,70330.44,178998603.4,0.5466,
3273,772.59,21.39,0.00,8.50,0.24,150.00,0.9500,0.9500,0.6526,0.7866,0.9207,1.0000,1.0000,0.9985,81402.48,179000679.6,0.5459,
4111,-888.54,329.75,0.00,-7.97,2.96,150.00,0.9500,0.9500,0.5895,0.7685,0.9067,0.9469,1.0000,0.9900,73532.60,179010558.3,0.5452,
845,185.46,-273.97,0.00,4.76,-7.04,150.00,0.9500,0.9500,0.6937,0.8023,0.9580,1.0000,1.0000,1.0000,86528.23,179012806.2,0.5810,
1045,-281.51,-256.98,0.00,-6.28,-5.73,150.00,0.9500,0.9500,0.6661,0.7784,0.9537,0.9942,1.0000,1.0000,83082.24,179023236.5,0.5762,
3543,-838.12,23.20,0.00,-8.50,0.24,150.00,0.9500,0.9500,0.6205,0.7536,0.9154,1.0000,1.0000,0.9967,77400.49,179023540.9,0.5395,
1613,-488.74,52.10,0.00,-8.45,0.90,150.00,0.9500,0.9500,0.6079,0.7963,0.9443,0.8957,1.0000,1.0000,75824.72,179067190.0,0.5343,
1320,-365.03,-232.65,0.00,-7.17,-4.57,150.00,0.9500,0.9500,0.6611,0.7717,0.9493,1.0000,1.0000,1.0000,82466.89,179073217.1,0.5680,
726,86.44,-290.20,0.00,2.43,-8.15,150.00,0.9500,0.9500,0.6954,0.8023,0.9604,1.0000,1.0000,1.0000,86738.94,179128043.2,0.5823,
1381,380.19,-206.94,0.00,7.47,-4.06,150.00,0.9500,0.9500,0.6838,0.7981,0.9493,1.0000,1.0000,1.0000,85294.32,179145919.3,0.5699,
2573,652.02,-74.32,0.00,8.45,-0.96,150.00,0.9500,0.9500,0.6615,0.7881,0.9303,1.0000,1.0000,0.9997,82512.77,179154981.5,0.5513,
2644,-678.47,-88.80,0.00,-8.43,-1.10,150.00,0.9500,0.9500,0.6333,0.7564,0.9280,1.0000,1.0000,0.9997,78996.98,179164950.0,0.5433,
