Heliostat ID,Pos-x,Pos-y,Pos-z,Aim-x,Aim-y,Aim-z,Track-x,Track-y,Track-z,Reflectivity,Soiling,Total eff,Cosine eff,Attenuation,Blocking,Shading,Intercept eff.,Annual efficiency,
812,-240.74,226.94,0.00,-6.19,5.83,150.00,0.354,-0.472,0.807,0.9500,0.9500,0.7505,0.8680,0.9580,1.0000,1.0000,1.0000,0.6926,
995,191.23,310.64,0.00,4.46,7.24,150.00,-0.299,-0.557,0.775,0.9500,0.9500,0.7555,0.8822,0.9552,0.9935,1.0000,1.0000,0.7000,
1343,-226.92,368.62,0.00,-4.46,7.24,150.00,0.263,-0.585,0.767,0.9500,0.9500,0.7328,0.8553,0.9493,1.0000,1.0000,1.0000,0.6917,
174,165.74,39.73,0.00,8.27,1.98,150.00,-0.407,-0.198,0.892,0.9500,0.9500,0.8152,0.9303,0.9709,1.0000,1.0000,1.0000,0.6964,
506,-217.87,150.05,0.00,-7.00,4.82,150.00,0.377,-0.389,0.841,0.9500,0.9500,0.7654,0.8832,0.9636,0.9965,1.0000,1.0000,0.6923,
1539,189.39,431.19,0.00,3.42,7.78,150.00,-0.247,-0.619,0.746,0.9500,0.9500,0.7372,0.8635,0.9460,1.0000,1.0000,1.0000,0.6944,
1160,-231.24,323.38,0.00,-4.94,6.91,150.00,0.290,-0.556,0.779,0.9500,0.9500,0.7389,0.8597,0.9523,1.0000,1.0000,1.0000,0.6923,
1767,-87.07,504.60,0.00,-1.45,8.38,150.00,0.069,-0.669,0.740,0.9500,0.9500,0.7203,0.8541,0.9425,0.9915,1.0000,1.0000,0.7018,
1252,-229.72,345.87,0.00,-4.70,7.08,150.00,0.277,-0.571,0.773,0.9500,0.9500,0.7357,0.8574,0.9508,1.0000,1.0000,1.0000,0.6922,
200,-173.99,54.89,0.00,-8.11,2.56,150.00,0.373,-0.234,0.898,0.9500,0.9500,0.7958,0.9090,0.9700,1.0000,1.0000,1.0000,0.6929,
261,180.87,71.38,0.00,7.91,3.12,150.00,-0.416,-0.262,0.871,0.9500,0.9500,0.8072,0.9229,0.9692,1.0000,1.0000,1.0000,0.6961,
646,220.68,187.77,0.00,6.47,5.51,150.00,-0.400,-0.430,0.810,0.9500,0.9500,0.7770,0.8954,0.9615,1.0000,1.0000,1.0000,0.6961,
1449,195.89,407.24,0.00,3.68,7.66,150.00,-0.263,-0.607,0.750,0.9500,0.9500,0.7409,0.8662,0.9477,1.0000,1.0000,1.0000,0.6949,
1773,62.34,508.25,0.00,1.03,8.44,150.00,-0.094,-0.669,0.737,0.9500,0.9500,0.7299,0.8581,0.9425,0.9999,1.0000,1.0000,0.7029,
1069,-232.27,302.22,0.00,-5.18,6.74,150.00,0.302,-0.541,0.785,0.9500,0.9500,0.7401,0.8619,0.9537,0.9975,1.0000,1.0000,0.6966,
1768,-62.34,508.25,0.00,-1.03,8.44,150.00,0.042,-0.672,0.740,0.9500,0.9500,0.7221,0.8551,0.9425,0.9928,1.0000,1.0000,0.7029,
1358,200.97,383.38,0.00,3.95,7.53,150.00,-0.277,-0.594,0.755,0.9500,0.9500,0.7446,0.8691,0.9493,1.0000,1.0000,1.0000,0.6955,
1527,-189.39,431.19,0.00,-3.42,7.78,150.00,0.198,-0.626,0.754,0.9500,0.9500,0.7288,0.8536,0.9460,1.0000,1.0000,1.0000,0.6944,
52,-129.19,-8.45,0.00,-8.48,-0.55,150.00,0.313,-0.084,0.946,0.9500,0.9500,0.8164,0.9291,0.9737,1.0000,1.0000,1.0000,0.6994,
398,104.17,211.11,0.00,3.76,7.62,150.00,-0.224,-0.512,0.829,0.9500,0.9500,0.7596,0.9231,0.9660,0.9440,1.0000,1.0000,0.7011,
103,-146.12,9.65,0.00,-8.48,0.56,150.00,0.342,-0.131,0.930,0.9500,0.9500,0.8092,0.9219,0.9726,1.0000,1.0000,1.0000,0.6972,
1648,118.79,476.94,0.00,2.05,8.25,150.00,-0.160,-0.653,0.741,0.9500,0.9500,0.7340,0.8613,0.9443,1.0000,1.0000,1.0000,0.6979,
979,-191.23,310.64,0.00,-4.46,7.24,150.00,0.252,-0.565,0.786,0.9500,0.9500,0.7372,0.8699,0.9552,0.9831,1.0000,1.0000,0.7000,
567,-219.60,168.35,0.00,-6.75,5.17,150.00,0.368,-0.413,0.833,0.9500,0.9500,0.7653,0.8810,0.9626,1.0000,1.0000,1.0000,0.6942,
1268,205.34,360.88,0.00,4.20,7.39,150.00,-0.292,-0.581,0.760,0.9500,0.9500,0.7482,0.8719,0.9508,1.0000,1.0000,1.0000,0.6959,
706,220.33,207.71,0.00,6.19,5.83,150.00,-0.388,-0.453,0.803,0.9500,0.9500,0.7739,0.8928,0.9604,1.0000,1.0000,1.0000,0.6979,
1177,208.40,338.55,0.00,4.46,7.24,150.00,-0.305,-0.567,0.765,0.9500,0.9500,0.7520,0.8749,0.9523,1.0000,1.0000,1.0000,0.6961,
1771,12.50,511.91,0.00,0.21,8.50,150.00,-0.040,-0.674,0.738,0.9500,0.9500,0.7270,0.8573,0.9425,0.9970,1.0000,1.0000,0.7043,
32,111.05,-18.00,0.00,8.39,-1.36,150.00,-0.319,-0.056,0.946,0.9500,0.9500,0.8372,0.9518,0.9747,1.0000,1.0000,1.0000,0.7047,
1436,-195.89,407.24,0.00,-3.68,7.66,150.00,0.214,-0.614,0.760,0.9500,0.9500,0.7318,0.8556,0.9477,1.0000,1.0000,1.0000,0.6950,
1770,-12.50,511.91,0.00,-0.21,8.50,150.00,-0.012,-0.674,0.738,0.9500,0.9500,0.7255,0.8567,0.9425,0.9955,1.0000,1.0000,0.7043,
305,186.23,89.08,0.00,7.67,3.67,150.00,-0.415,-0.294,0.861,0.9500,0.9500,0.8036,0.9196,0.9682,1.0000,1.0000,1.0000,0.6977,
389,-104.17,211.11,0.00,-3.76,7.62,150.00,0.178,-0.517,0.837,0.9500,0.9500,0.7581,0.9142,0.9660,0.9512,1.0000,1.0000,0.7011,
1538,159.22,443.22,0.00,2.87,8.00,150.00,-0.212,-0.632,0.745,0.9500,0.9500,0.7377,0.8641,0.9460,1.0000,1.0000,1.0000,0.6975,
1638,-118.79,476.94,0.00,-2.05,8.25,150.00,0.109,-0.657,0.746,0.9500,0.9500,0.7289,0.8554,0.9443,1.0000,1.0000,1.0000,0.6979,
767,219.17,228.78,0.00,5.88,6.14,150.00,-0.374,-0.476,0.796,0.9500,0.9500,0.7705,0.8900,0.9592,1.0000,1.0000,1.0000,0.6993,
